payee,categoryGroup,category
GIANT 0383 WASHINGTON DC,Refundable,Conference
Calvert Woodley Washington DC,Refundable,Conference
BUSBOYS & POETS WASHINGTON DC,Refundable,Conference
UBER TRIP BUDYM HELP.UBER.COM CA,Refundable,Conference
CVS/PHARMACY #01 01347--6-7 DUPONT CIRCL,Occasional Obligations,Medical
AIRBNB * HMNC2A55SK 415-800-5959 CA,Travel,Hotel
UBER TRIP BPWNP HELP.UBER.COM CA,Refundable,Conference
WASHINGTON DC CC REST 0 WASHINGTON DC,Refundable,Conference
STARBUCKS STORE 07237 WASHINGTON DC,Refundable,Conference
TEDS BULLETIN WASHINGTON DC,Refundable,Conference
MEGABUS.COM WWW.MEGABUS.C NJ,Travel,Displacement
TEAK WOOD RESTAURANT WASHINGTON DC,Refundable,Conference
UBER TRIP 5NPH2 HELP.UBER.COM CA,Travel,Displacement
Birch & Barley/Churchke Washington DC,Refundable,Conference
SQ *COFFEE MARKET PHILADELPHIA PA,Travel,Vacation
LE PAIN QUOTIDIEN WASHINGTON DC,Refundable,Conference
C & C GENERAL GIFT PHILADELPHIA PA,Travel,Vacation
GRUBHUBARPEGGIOGRILL GRUBHUB.COM NY,Entertainment,Dining Out
MELTKRAFT BY VAL SHEP PHILADELPHIA PA,Travel,Displacement
LOCAL 44 PHILADELPHIA PA,Travel,Vacation
UBER *TRIP LUYLW 800-592-8996 CA,Travel,Displacement
30TH ST STA AUBONPAIN PHILADELPHIA PA,Travel,Vacation
W CAFE NEW YORK NY,Travel,Vacation
C & B NEW YORK NY,Travel,Vacation
MTA VENDING MACHINES NEW YORK NY,Travel,Vacation
METROCARD VALUE @ AIRTR NEW YORK NY,Travel,Vacation
FINANCIER PATISSERIE NEW YORK NY,Travel,Vacation
VILLAGE NATURAL RESTAUR NEW YORK NY,Travel,Vacation
AA INFLIGHT VISA FACET PHOENIX AZ,Travel,Vacation
STARBUCKS STORE 07622 NEW YORK NY,Travel,Vacation
AMNH SATELITE 11211133 NEW YORK NY,Travel,Vacation
Hopfields Austin TX,Entertainment,Dining Out
HANKS SEAFOOD & SUPERM 2634 ST CLAUDE AVE,Entertainment,Dining Out
Amazon Digital Svcs amzn.com/bill WA,General Expenses,Amazon Shopping
UBER TRIP YOIOM HELP.UBER.COM CA,Travel,Displacement
H&M NEW ORLEANS LA,General Expenses,Clothing
FRENCH MARKET REST AND NEW ORLEANS LA,Travel,Vacation
Stanley NEW ORLEANS LA,Travel,Vacation
OCEANA GRILL NEW ORLEANS LA,Travel,Vacation
NEWORLEANSCAKECAFEANDBA NEW ORLEANS LA,Travel,Vacation
THE PRALINE CONNECTION NEW ORLEANS LA,Travel,Vacation
Faubourg Wines 2805 ST CLAUDE AVENUE NEW,General Expenses,Gifts
NEW ORLEANS FOOD CO-OP NEW ORLEANS LA,Entertainment,Dining Out
Fulton Alley New Orleans LA,Travel,Vacation
PORT OF CALL NEW ORLEANS LA,Travel,Vacation
UBER *TRIP B57ML 800-592-8996 CA,Travel,Displacement
UBER TRIP 6XN3R HELP.UBER.COM CA,Travel,Displacement
Red's Chinese New Orleans LA,Travel,Vacation
UBER TRIP DF2WN HELP.UBER.COM CA,Travel,Displacement
THE RUMHOUSE NEW ORLEANS LA,Travel,Vacation
UBER TRIP Q62QR HELP.UBER.COM CA,Travel,Displacement
NEW ORLEANS AIRPORT KENNER LA,Travel,Displacement
SATSUMA NEW ORLEANS LA,Travel,Vacation
MT SUPERMARKET 10901 N LAMAR BLVD AUSTIN,General Expenses,Groceries
CAFE ROSE NICAUD NEW ORLEANS LA,Travel,Vacation
INTERNATIONAL FOOD MARK AUSTIN TX,General Expenses,Groceries
NATURAL GROCERS AU 32 AUSTIN TX,General Expenses,Groceries
EB NEW YEARS EVE MASQ 888-810-2063 CA,Entertainment,Cinema/Theatre/Festival
UT BLANTON MUSEUM OF A AUSTIN TX,Entertainment,Museum
KONA GRILL AUSTIN 116 AUSTIN TX,Entertainment,Dining Out
EL TAQUITO #1 AUSTIN TX,Entertainment,Dining Out
SNOOZE NORTH LAMAR AUSTIN TX,Entertainment,Dining Out
SAO PAULOS LLC AUSTIN TX,Entertainment,Dining Out
WAL Wal-Mart Super 150267 4554 WAL-SAMS,General Expenses,Groceries
FOREST FAMILY DENTISTR 000-0000000 TX,Occasional Obligations,Medical
ARAMARK UTA JAVA CITY P AUSTIN TX,Entertainment,Dining Out
487PEPSIVEN9147678600 AUSTIN TX,Entertainment,Dining Out
TASTE OF ETHIOPIA II SO AUSTIN TX,Entertainment,Dining Out
NST THE HOME DEPOT 261499 1200 BARBARA,General Expenses,Home Maintenance
TEXAS BAKERY AUSTIN TX,Entertainment,Dining Out
NEW FORTUNE CHINESE SEA AUSTIN TX,Entertainment,Dining Out
HANDGUN CLASS 512-731-3585 TX,Entertainment,Gaming
COURTYARD AUSTIN DT FB AUSTIN TX,Entertainment,Dining Out
STARBUCKS STORE 09612 AUSTIN TX,Entertainment,Dining Out
THE HALAL GUYS AUS AUSTIN TX,Entertainment,Dining Out
SQ *CAFFE MEDICI AUSTIN TX,Entertainment,Dining Out
SQ *AUSTIN SWING SY AUSTIN TX,Entertainment,Dining Out
UBER TRIP 4KMMD HELP.UBER.COM CA,Immediate Obligations,Transportation
UBER TRIP REP6T HELP.UBER.COM CA,Immediate Obligations,Transportation
PLANET K GUADALUPE AUSTIN TX,General Expenses,Gifts
SHELL Service Station AUSTIN TX,General Expenses,Groceries
UBER *TRIP ZG7GV 800-592-8996 CA,Immediate Obligations,Transportation
GRUBHUBABUOMARHALAL GRUBHUB.COM NY,Entertainment,Dining Out
SQ *THREDUP Austin TX,General Expenses,Clothing
PP*BREWBLESBAT AUSTIN TX,General Expenses,Gifts
BEE CAVE COFFEE CO AUSTIN TX,Entertainment,Dining Out
FLAMING PIZZA AUSTIN TX,Entertainment,Dining Out
UBER VORRN HELP.UBER.COM CA,Immediate Obligations,Transportation
SQ *MASALA DHABA AUSTIN TX,Entertainment,Dining Out
RUSSIAN HOUSE NAZDOROV AUSTIN TX,Entertainment,Dining Out
II BRUTTO AUSTIN TX,Entertainment,Dining Out
CVS/PHARMACY #06 06892- Austin TX,Occasional Obligations,Medical
SQ *BAMBU DESSERTS AUSTIN TX,Entertainment,Dining Out
FRANKLIN BBQ AUSTIN TX,Entertainment,Dining Out
SQ *TEJI'S AUSTIN TX,Entertainment,Dining Out
ARAMARK STARBUCKS AUSTIN TX,Entertainment,Dining Out
H&M AUSTIN TX,General Expenses,Clothing
JUSTINE'S AUSTIN TX,Entertainment,Dining Out
KING BEE AUSTIN TX,Entertainment,Dining Out
HYATT REGENCY AUSTIN F& AUSTIN TX,Entertainment,Dining Out
MOLOKO AUSTIN TX,Entertainment,Dining Out
HALAL BROS AUSTIN TX,Entertainment,Dining Out
TX COFFEE TRADERS RLM AUSTIN TX,Entertainment,Dining Out
"From BENVENUTI,GIACO",Occasional Obligations,Transfert
Check Received 225.64,Occasional Obligations,Medical
"To TAOUALI, WAHIBA 0901118708 Share 0080",Occasional Obligations,Transfert
CENTRAL MARKET #061 4001 N. LAMAR AUSTIN TX Card 15 #7096,General Expenses,Groceries
NWS EXPRESS-O 972904 2228 E CEASAR CHAVEZ,Entertainment,Cinema/Theatre/Festival
Check Card: SPIDER HOUSE COFFEE BAR AUSTIN TX  03/02/18Card 15 #7096,Entertainment,Dining Out
JCPENNEY.COM JCPENNEY.COM KS,General Expenses,Clothing
DOLLAR TREE 9515 N LAMAR BLVD STE 1 AUSTIN TX Card 15 #7096,General Expenses,Home Maintenance
Check Card: SQ *LA TAZZA FRESCA AUSTIN TX  03/08/18Card 15 #7096,Entertainment,Dining Out
Check Card: FREELANCER.COM WIL CH  03/09/18Card 15 #7096,General Expenses,Gifts
Debit Card Fee  VISA INTERNATIONAL SERVICE ASSESSMENT  Date 03/09/18  Card 15 #7096,Travel,Displacement
Check Card: EASTSIDE KING - LIBERTY AUSTIN TX  03/09/18Card 15 #7096,Entertainment,Dining Out
7-ELEVEN 3848 AIRPORT BLVD US AUSTIN TX,Travel,Displacement
THE SIDE BAR AUSTIN TX,Entertainment,Dining Out
STONEHOUSE WOOD FIRE GR AUSTIN TX,Entertainment,Dining Out
UBER ZEVOE HELP.UBER.COM CA,Immediate Obligations,Transportation
HOTEL VEGAS AUSTIN TX,Travel,Hotel
RANDALL'S # bEjv AUSTIN TX Card 15 #7096,General Expenses,Groceries
FRICANOS DELI AMP CATER AUSTIN TX,Entertainment,Dining Out
Check Card: FREELANCER.COM WIL CH  03/13/18Card 15 #7096,General Expenses,Gifts
Debit Card Fee  VISA INTERNATIONAL SERVICE ASSESSMENT  Date 03/13/18  Card 15 #7096,Travel,Displacement
UBER *NRUIU 800-592-8996 CA,Immediate Obligations,Transportation
CVS/PHARMACY #06 06892- Austin TX Card 15 #7096,Occasional Obligations,Medical
MODERN MARKET FROST INS AUSTIN TX,Entertainment,Dining Out
UNITED 01623905159 800-932-2732 TX,Travel,Displacement
Check Card: NEW FORTUNE CHINESE SEA AUSTIN TX  03/17/18Card 15 #7096,Entertainment,Dining Out
UBER *3R5V2 800-592-8996 CA,Immediate Obligations,Transportation
UBER 7ZIK3 HELP.UBER.COM CA,Immediate Obligations,Transportation
WM SUPERCENTER # Wal-Mart Super Center AUSTIN TX Card 15 #7096,General Expenses,Groceries
UT HEALTH AUSTIN AUSTIN TX,Occasional Obligations,Medical
AMERICAN AIR00121794082 FORT WORTH TX,Travel,Displacement
EXPEDIA MEXICO CIUDAD DE MEX MX,Travel,Vacation
PAYPAL *HOTELS.COM 402-935-7733 WA,Travel,Hotel
BEDFINDERTRAVELSERVICE GLATTBRUGG DE,Travel,Hotel
World Nomads Berkeley CA,Travel,Vacation
GAP US 9307 AUSTIN TX,General Expenses,Clothing
Amazon.com AMZN.COM/BILL WA,General Expenses,Amazon Shopping
ATM Withdrawal #000000005484 UFCU 3101 Guadalupe Austin TX 457309Card 16 #7062,General Expenses,Cash Withdrawal
US DOS VISA FEE EASTLEIGH GB,Occasional Obligations,Visa Fees
CVS/PHARMACY #06 06892- Austin TX Card 16 #7062,Occasional Obligations,Medical
Check Card: SPIDER HOUSE COFFEE BAR AUSTIN TX  03/29/18Card 16 #7062,Entertainment,Dining Out
UNITED 01626068996 800-932-2732 TX,Travel,Displacement
Check Card: AUSTIN AIRPORT-F&B AUSTIN TX  03/31/18Card 16 #7062,Travel,Displacement
UBER TRIP DF5H4 HELP.UBER.COM CA,Immediate Obligations,Transportation
CLIP MX*VIAJES Y TURIS CIUDAD DE MEX MX,Travel,Vacation
AUS THUNDERCLOUD/RUTA M AUSTIN TX,Entertainment,Dining Out
*SCOTIABANK / PLAYA DEL CAR MX DA39,Travel,Vacation
SOUVENIR PLAYA SOLIDARIDAD Q MX,Travel,Vacation
SR PAGO*SENORPAGO MEXICO DF MX,Travel,Vacation
H&M MX0011 PLAYACARMEN SOLIDARIDAD MX,Travel,Vacation
HTL COZUMEL RECEPCION COZUMEL QROO MX,Travel,Vacation
"H S B C / SOLIDARIDAD, MX I19102",Travel,Vacation
PLAYA PALANCAR COZUMEL QROO MX,Travel,Vacation
"H S B C / VALLADOLID, Y MX I30372",Travel,Vacation
INAH 812301TULU SOLIDARIDAD Q MX,Travel,Vacation
7 ELEVEN 2179 TULUM QROO MX,Travel,Vacation
SERV CHICHEN ITZA MOD1 TINUM YUC MX,Travel,Vacation
INAH 813101CHIC TINUM YUC MX,Travel,Vacation
TERMINAL VALLADOLID VALLADOLID YU MX,Travel,Vacation
CASA QUETZAL VALLADOLID YU MX,Travel,Vacation
LA TRATTO SANTA LUCIA MERIDA YUC MX,Travel,Vacation
ATM Withdrawal #810022250808 BANAMEX MPIO MERIDA OLIMPO MERIDA MX06469144Card 16 #7062,Travel,Vacation
ATM Fee  VISA INTERNATIONAL SERVICE ASSESSMENT  Card 16 #7062,Travel,Displacement
Non UFCU ATM Fee  BANAMEX MPIO MERIDA OLIMPO MERIDA MX  06469144  Card 16 #7062,Travel,Vacation
ATM Withdrawal #810010908970 *SCOTIABANK / MERIDA MX D478Card 16 #7062,Travel,Vacation
Non UFCU ATM Fee  *SCOTIABANK / MERIDA MX D478  Card 16 #7062,Travel,Vacation
UBER TRIP P3HFU HELP.UBER.COM CA,Travel,Displacement
F AHORRO MEPJ PASAJE MERIDA YUC MX,Travel,Vacation
UNITED 01626076035 800-932-2732 TX,Travel,Displacement
CIBO EXPRESS C34 HOUSTON TX,Travel,Vacation
Check Card: SQ *LA TAZZA FRESCA AUSTIN TX  04/12/18Card 16 #7062,Entertainment,Dining Out
AIRFARE SVC FEE-EDREAM TALLAHASSEE FL,Travel,Displacement
INTUIT *TURBOTAX 800-446-8848 CA,Occasional Obligations,Tax
CONDOR 8813567043 NEW 488324601 NY,Travel,Displacement
Check Card: CSRA US VISA HOME DELIV EASTLEIGH GB  04/19/18Card 16 #7062,Occasional Obligations,Visa Fees
Debit Card Fee  VISA INTERNATIONAL SERVICE ASSESSMENT  Date 04/19/18  Card 16 #7062,Travel,Displacement
CENTRAL MARKET #061 4001 N. LAMAR AUSTIN TX Card 16 #7062,General Expenses,Groceries
UFCU 2304 WHITIS AVE Austin TX 457318,General Expenses,Cash Withdrawal
ABELS ON THE LAKE AUSTIN TX,Entertainment,Dining Out
RUMBO MADRID ES,Travel,Displacement
UBER TRIP Z7FXH HELP.UBER.COM CA,Travel,Displacement
STARBUCKS STORE 17403 SANTA MONICA CA,Entertainment,Dining Out
SQ *PERRY'S 2600 SANTA MONICA CA,Travel,Vacation
UBER TRIP 45NJT HELP.UBER.COM CA,Travel,Displacement
IRS  TREAS 310,Income,To be Budgeted
PHILIPPE THE ORIGI LOS ANGELES CA,Travel,Vacation
UBER TRIP 7SSNC HELP.UBER.COM CA,Immediate Obligations,Transportation
FIESTA MART #25 3909 NORTH I 35 AUSTIN TX,General Expenses,Groceries
"From BENVENUTI,GIACO ciao",Occasional Obligations,Transfert
ciao,Occasional Obligations,Transfert
TARGET T-3250 2021 Guadalupe St Austin TX,General Expenses,Groceries
UBER TRIP RYZF7 HELP.UBER.COM CA,Immediate Obligations,Transportation
UBER TRIP 4XYXV HELP.UBER.COM CA,Immediate Obligations,Transportation
CVS/PHARMACY #07 07606- Austin TX,Occasional Obligations,Medical
Check Card: INTERNATIONAL FOOD MARK AUSTIN TX  05/15/18Card 16 #7062,General Expenses,Groceries
NOON GUADALUPE AUSTIN TX,Entertainment,Dining Out
Check Card: AUS 3180B AUSTIN ARTICL AUSTIN TX  05/19/18Card 16 #7062,Travel,Vacation
Check Card: AUS 3180A AUSTIN ARTICL AUSTIN TX  05/19/18Card 16 #7062,Travel,Vacation
AIRBNB * HMQMWAT589 069-936-6533 CA,Travel,Hotel
Check Card: AUS THUNDERCLOUD/RUTA M AUSTIN TX  05/19/18Card 16 #7062,Entertainment,Dining Out
Check Card: CIBO EXPRESS GATE 82 8665083558 FL  05/20/18Card 16 #7062,Travel,Vacation
Check Card: PHARMACIE DU PAR2466581 PARIS FR  05/22/18Card 16 #7062,Travel,Vacation
Debit Card Fee  VISA INTERNATIONAL SERVICE ASSESSMENT  Date 05/22/18  Card 16 #7062,Travel,Displacement
HEB #639 1801 E. 51ST STREET AUSTIN TX,General Expenses,Groceries
Check Card: SNCF INTERNET PARIS CEDEX 0 FR  05/26/18Card 16 #7062,Travel,Vacation
Debit Card Fee  VISA INTERNATIONAL SERVICE ASSESSMENT  Date 05/26/18  Card 16 #7062,Travel,Displacement
Check Card: YVES ROCHER 69LYON CEDEX FR  05/26/18Card 16 #7062,Travel,Vacation
"Check Card: ASSUR.TRAIN AWP, ST OUEN FR  05/26/18Card 16 #7062",Travel,Displacement
Check Card: SNCF INTERNET PARIS CEDEX 0 FR  05/27/18Card 16 #7062,Travel,Vacation
Debit Card Fee  VISA INTERNATIONAL SERVICE ASSESSMENT  Date 05/27/18  Card 16 #7062,Travel,Displacement
Check Card: CFTA RHONE 4374900 69MEYZIEU CED FR  05/30/18Card 16 #7062,Travel,Displacement
Debit Card Fee  VISA INTERNATIONAL SERVICE ASSESSMENT  Date 05/30/18  Card 16 #7062,Travel,Displacement
UBER TRIP RO5BL HELP.UB help.uber.com FR,Immediate Obligations,Transportation
THE KREUZ SAUSAGE AND B LOCKHART TX,Entertainment,Dining Out
AUS 3185B BARTON SPRING AUSTIN TX,Entertainment,Dining Out
MEYER FEINKOST AIRPORT FRANKFURT AM DE,Travel,Displacement
BCA CARIGE FIRE VIA MASO FINIGUERRA 1 R,Travel,Vacation
G.MARIANO SRL SIRACUSA IT,Travel,Vacation
VAYAMA.COM SAN JOSE CA CA,Travel,Displacement
PurchaseFrom Trenitalia SPA,Travel,Vacation
CFTA RHONE 4374900 69MEYZIEU CED FR,Travel,Displacement
UBER TRIP K6M25 HELP.UBER.COM CA,Travel,Displacement
UBER TRIP KLBQX HELP.UB help.uber.com FR,Immediate Obligations,Transportation
KOME SUSHI KITCHEN AUSTIN TX,Entertainment,Dining Out
UBER TRIP D5LFV HELP.UBER.COM CA,Immediate Obligations,Transportation
HYATT REGENCY AUSTIN AUSTIN TX,Entertainment,Dining Out
NNT BEACONFAMILY HE532008 4208 MEDICAL,Occasional Obligations,Medical
DILLARDS 734 THE DOMAIN 3211 FEATHERGRASS,General Expenses,Clothing
ZARA USA 3950 AUSTIN TX,General Expenses,Clothing
Skype Luxembourg LU,Immediate Obligations,Mobile
UFCU 2557 Speedway Austin TX 457344,General Expenses,Cash Withdrawal
July,Occasional Obligations,Transfert
UBER TRIP RZ2MQ HELP.UBER.COM CA,Immediate Obligations,Transportation
WALMART.COM 800-966-6546 AR,General Expenses,Groceries
ASTI TRATORIA AUSTIN TX,Entertainment,Dining Out
Withdrawal / Draft,General Expenses,Cash Withdrawal
DOLCE VITA GELATO ES AUSTIN TX,Entertainment,Dining Out
KOREAN KOMFORT AUSTIN TX,Entertainment,Dining Out
PaymentTo ABC TRAVEL SRL,Travel,Displacement
NAKID SPORTS LEAGUE 202-656-4322 DE,Immediate Obligations,Fitness
TST* ARLO S AUSTIN TX,Entertainment,Dining Out
9285 Dominos Pizza Austin TX,Entertainment,Dining Out
SKYPE.COM/GO/BILL Luxembourg LU,Immediate Obligations,Mobile
LEMONADE.COM 8447338666 NY,Immediate Obligations,Renter's/Home Insurance
INTERNATIONAL SOS 800-523-8662 RI,Occasional Obligations,Visa Fees
INTERNATIONAL FO 11331 AUSTIN TX,General Expenses,Groceries
NEW FORTUNE CHINESE 512-8329992 TX,Entertainment,Dining Out
BROWNPAPERTICKETS COM 800-838-3006 WA,Travel,Vacation
Prime Now Amzn.com/bill WA,General Expenses,Groceries
BIG FAT GREEK GYROS AUSTIN TX,Entertainment,Dining Out
QUACK'S 43RD STREET BAK AUSTIN TX,Entertainment,Dining Out
PrimeNowTips Amzn.com/bill WA,General Expenses,Groceries
AIRBNB * HMPSQ2HN3F 069-936-6533 CA,Refundable,Others
SQ *AMY'S ICE CREAM AUSTIN TX,Entertainment,Dining Out
UBER TRIP 3AFKY HELP.UBER.COM CA,Immediate Obligations,Transportation
RANDALLS STORE 2481 AUSTIN TX,General Expenses,Groceries
8 TRACK AUSTIN TX,Entertainment,Dining Out
SOUTHWES 52614770798 800-435-9792 TX,Travel,Displacement
THE BACK LOT AUSTIN TX,Entertainment,Dining Out
HULA HUT AUSTIN TX,Entertainment,Dining Out
HALALBROSCORPORATION_2 AUSTIN TX,Entertainment,Dining Out
LEMONADE.COM 844-733-8666 NY,Immediate Obligations,Renter's/Home Insurance
PaymentFrom Matthew Whitmire,Refundable,Conference
PRIME NOW AMZN.COM/BILL AMZN.COM/BILL WA,General Expenses,Groceries
PaymentFrom Shun Kobayashi,Refundable,Others
SQ *OTHERSIDE DELI AUSTIN TX,Entertainment,Dining Out
OMO RBM FOOD MART 571266 2601 MANOR RD,Entertainment,Dining Out
UBER TRIP L7DEL HELP.UBER.COM CA,Immediate Obligations,Transportation
SQ *O'S CAMPUS CAFE AND Austin TX,Entertainment,Dining Out
Check Card: THE POSSE EAST AUSTIN TX  08/30/18Card 16 #6717,Entertainment,Dining Out
H&M0280 AUSTIN TX Card 16 #6717,General Expenses,Clothing
Check Card: UT RECSPORTS ECOMMERCE 512-4757155 TX  08/31/18Card 16 #6717,Immediate Obligations,Fitness
Check Card: H&M0280 AUSTIN TX  09/01/18Card 16 #6717,General Expenses,Clothing
Check Card: FLAMING PIZZA AUSTIN TX  09/01/18Card 16 #6717,Entertainment,Dining Out
UT Payroll CO: UT Payroll,Income,To be Budgeted
CENTRAL MARKET #061 4001 N. LAMAR AUSTIN TX Card 16 #6717,General Expenses,Groceries
Check Card: CAPITAL METROPOLITAN T 512-369-6244 TX  09/02/18Card 16 #6717,Immediate Obligations,Transportation
Check Card: STARBUCKS STORE 13331 AUSTIN TX  09/01/18Card 16 #6717,Entertainment,Dining Out
AMAZON.COM SEATTLE WA Card 16 #6717,General Expenses,Amazon Shopping
Check Card: Prime Now Amzn.com/bill WA  09/03/18Card 16 #6717,General Expenses,Groceries
Check Card: PrimeNowTips Amzn.com/bill WA  09/04/18Card 16 #6717,General Expenses,Groceries
Check Card: SALVATION PIZZA 512-5350076 TX  09/03/18Card 16 #6717,Entertainment,Dining Out
#824726637803  LEMONADE.COM LEMONADE.COM NY  Card 16 #6717,Immediate Obligations,Renter's/Home Insurance
Check Card: CMSVEND*CV AUSTIN AUSTIN TX  09/04/18Card 16 #6717,Entertainment,Dining Out
Check Card: Prime Now Amzn.com/bill WA  09/06/18Card 16 #6717,General Expenses,Groceries
Check Card: SQ *OTHERSIDE DELI AUSTIN TX  09/06/18Card 16 #6717,Entertainment,Dining Out
Check Card: UBER TRIP 4UE5A HELP.UBER.COM CA  09/07/18Card 16 #6717,Travel,Displacement
